91;Helsinki                                
18;Askola                                  
49;Espoo                                   
78;Hanko                                   
106;Hyvinkää                                
149;Inkoo                                   
186;Järvenpää                               
224;Karkkila                                
235;Kauniainen                              
245;Kerava                                  
257;Kirkkonummi                             
407;Lapinjärvi                              
444;Lohja                                   
434;Loviisa                                 
504;Myrskylä                                
505;Mäntsälä                                
543;Nurmijärvi                              
611;Pornainen                               
638;Porvoo                                  
616;Pukkila                                 
710;Raasepori                               
753;Sipoo                                   
755;Siuntio                                 
858;Tuusula                                 
92;Vantaa                                  
927;Vihti                                   
19;Aura                                    
202;Kaarina                                 
322;Kemiönsaari                             
284;Koski Tl                                
304;Kustavi                                 
400;Laitila                                 
423;Lieto                                   
430;Loimaa                                  
480;Marttila                                
481;Masku                                   
503;Mynämäki                                
529;Naantali                                
538;Nousiainen                              
561;Oripää                                  
577;Paimio                                  
445;Parainen                                
631;Pyhäranta                               
636;Pöytyä                                  
680;Raisio                                  
704;Rusko                                   
734;Salo                                    
738;Sauvo                                   
761;Somero                                  
833;Taivassalo                              
838;Tarvasjoki                              
853;Turku                                   
895;Uusikaupunki                            
918;Vehmaa                                  
50;Eura                                    
51;Eurajoki                                
79;Harjavalta                              
99;Honkajoki                               
102;Huittinen                               
181;Jämijärvi                               
214;Kankaanpää                              
230;Karvia                                  
271;Kokemäki                                
319;Köyliö                                  
413;Lavia                                   
442;Luvia                                   
484;Merikarvia                              
531;Nakkila                                 
608;Pomarkku                                
609;Pori                                    
684;Rauma                                   
747;Siikainen                               
783;Säkylä                                  
886;Ulvila                                  
16;Asikkala                                
61;Forssa                                  
81;Hartola                                 
82;Hattula                                 
86;Hausjärvi                               
111;Heinola                                 
98;Hollola                                 
103;Humppila                                
283;Hämeenkoski                             
109;Hämeenlinna                             
165;Janakkala                               
169;Jokioinen                               
316;Kärkölä                                 
398;Lahti                                   
433;Loppi                                   
532;Nastola                                 
560;Orimattila                              
576;Padasjoki                               
694;Riihimäki                               
781;Sysmä                                   
834;Tammela                                 
981;Ypäjä                                   
20;Akaa                                    
108;Hämeenkyrö                              
143;Ikaalinen                               
177;Juupajoki                               
211;Kangasala                               
250;Kihniö                                  
418;Lempäälä                                
508;Mänttä-Vilppula                         
536;Nokia                                   
562;Orivesi                                 
581;Parkano                                 
604;Pirkkala                                
619;Punkalaidun                             
635;Pälkäne                                 
702;Ruovesi                                 
790;Sastamala                               
837;Tampere                                 
887;Urjala                                  
908;Valkeakoski                             
922;Vesilahti                               
936;Virrat                                  
980;Ylöjärvi                                
75;Hamina                                  
142;Iitti                                   
153;Imatra                                  
285;Kotka                                   
286;Kouvola                                 
405;Lappeenranta                            
416;Lemi                                    
441;Luumäki                                 
489;Miehikkälä                              
580;Parikkala                               
624;Pyhtää                                  
689;Rautjärvi                               
700;Ruokolahti                              
739;Savitaipale                             
831;Taipalsaari                             
935;Virolahti                               
46;Enonkoski                               
90;Heinävesi                               
97;Hirvensalmi                             
171;Joroinen                                
178;Juva                                    
213;Kangasniemi                             
491;Mikkeli                                 
507;Mäntyharju                              
588;Pertunmaa                               
593;Pieksämäki                              
623;Puumala                                 
681;Rantasalmi                              
740;Savonlinna                              
768;Sulkava                                 
140;Iisalmi                                 
174;Juankoski                               
204;Kaavi                                   
239;Keitele                                 
263;Kiuruvesi                               
297;Kuopio                                  
402;Lapinlahti                              
420;Leppävirta                              
476;Maaninka                                
595;Pielavesi                               
686;Rautalampi                              
687;Rautavaara                              
749;Siilinjärvi                             
762;Sonkajärvi                              
778;Suonenjoki                              
844;Tervo                                   
857;Tuusniemi                               
915;Varkaus                                 
921;Vesanto                                 
925;Vieremä                                 
146;Ilomantsi                               
167;Joensuu                                 
176;Juuka                                   
260;Kitee                                   
276;Kontiolahti                             
422;Lieksa                                  
